42890.6205577199;041940888B;Female4;RFID20;196;;;1;;;;;;
42890.6205578125;041940888B;Female4;RFID24;239;;;1;;;;;;
42890.6205585185;041940888B;Female4;RFID16;830;;;2;;;;;;
42890.6205650926;041940888B;Female4;RFID12;316;;;1;;;;;;
42890.6205713773;041940888B;Female4;RFID8;615;;;2;;;;;;
42890.6206006597;041940888B;Female4;RFID8;199;;;1;;;;;;
42890.6206199421;041940BB8C;Female7;RFID3;201;;;1;;;;;;
42890.6206170255;041940888B;Female4;RFID8;728;;;2;;;;;;
42890.6206260417;041940888B;Female4;RFID10;193;;;1;;;;;;
42890.6206296759;041940888B;Female4;RFID16;310;;;1;;;;;;
42890.6206290972;041940888B;Female4;RFID12;714;;;2;;;;;;
42890.6206356366;041940888B;Female4;RFID20;200;;;1;;;;;;
42890.620640162;041940888B;Female4;RFID24;201;;;1;;;;;;
42890.6206517361;041940888B;Female4;RFID23;429;;;1;;;;;;
42890.6206548264;041940BB8C;Female7;RFID3;1215;;;2;;;;;;
42890.6206817014;041940A054;Female1;RFID1;428;;;1;;;;;;
42890.6206866782;041940BB8C;Female7;RFID1;528;;;1;;;;;;
42890.6206898727;041940BB8C;Female7;RFID3;201;;;1;;;;;;
42890.6206928125;041940A054;Female1;RFID1;183;;;1;;;;;;
42890.6206905903;041940888B;Female4;RFID21;844;;;2;;;;;;
42890.6207187847;041940A054;Female1;RFID5;200;;;1;;;;;;
42890.6207066782;041940A054;Female1;RFID1;2088;;;5;;;;;;
42890.6207490509;041940A054;Female1;RFID5;616;;;2;;;;;;
42890.6207496412;041940888B;Female4;RFID21;786;;;2;;;;;;
42890.6207725463;041940888B;Female4;RFID17;1802;;;4;;;;;;
42890.6207842361;041940A054;Female1;RFID5;1932;;;2;;;;;;
42890.6207969097;041940888B;Female4;RFID13;588;;;2;;;;;;
42890.6207865625;041940A054;Female1;RFID1;2658;;;6;;;;;;
42890.6208010995;041940888B;Female4;RFID9;828;;;2;;;;;;
42890.6208173611;041940888B;Female4;RFID1;526;;;2;;;;;;
42890.6208202315;041940888B;Female4;RFID3;569;;;2;;;;;;
42890.6208066204;041940888B;Female4;RFID5;1796;;;4;;;;;;
42890.620830081;041940888B;Female4;RFID10;410;;;1;;;;;;
42890.6208234722;041940A054;Female1;RFID1;1687;;;5;;;;;;
42890.6208328125;041940888B;Female4;RFID8;944;;;2;;;;;;
42890.6208705671;041940888B;Female4;RFID8;228;;;1;;;;;;
42890.620871875;041940888B;Female4;RFID6;200;;;1;;;;;;
42890.6208938542;041940888B;Female4;RFID8;201;;;2;;;;;;
42890.6208689468;041940BFB8;Female5;RFID1;3646;;;8;;;;;;
42890.6209231134;041940888B;Female4;RFID8;200;;;1;;;;;;
42890.6209275116;041940BFB8;Female5;RFID1;201;;;1;;;;;;
42890.6209452778;041940888B;Female4;RFID8;815;;;2;;;;;;
42890.6209569792;041940888B;Female4;RFID12;315;;;2;;;;;;
42890.6209699074;041940888B;Female4;RFID8;1025;;;2;;;;;;
